id	bug_id	summary	description	report_time	report_timestamp	status	commit	commit_timestamp	files	
1	423257	Bug 423257 LTW - java.lang.VerifyError: Bad return type with generics and local variables		2013-12-04 19:43:22	1386200000	resolved fixed	dd88d21	1386350000	org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjState.java tests/bugs175/pr423257/AspectX.java tests/bugs175/pr423257/Test.java tests/src/org/aspectj/systemtest/AllTests17.java tests/src/org/aspectj/systemtest/ajc175/Ajc175Tests.java tests/src/org/aspectj/systemtest/ajc175/AllTestsAspectJ175.java tests/src/org/aspectj/systemtest/incremental/tools/MultiProjectIncrementalTests.java weaver/src/org/aspectj/weaver/bcel/asm/StackMapAdder.java	52:tests/src/org/aspectj/systemtest/incremental/tools/MultiProjectIncrementalTests.java 129:org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjState.java 179:weaver/src/org/aspectj/weaver/bcel/asm/StackMapAdder.java 258:tests/src/org/aspectj/systemtest/AllTests17.java
2	420210	Bug 420210 Support additional message insert keys in declare error/warning	It would be good to be able to insert the enclosing class name or enclosing member for a joinpoint.	2013-10-23 16:00:16	1382560000	resolved fixed	9319e34	1382560000	org.aspectj.matcher/src/org/aspectj/weaver/Checker.java tests/bugs174/extra_inserts/Code.java tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java	63:org.aspectj.matcher/src/org/aspectj/weaver/Checker.java 101:tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java
3	419279	Bug 419279 ajc option to change -Xlint level per-message without Xlintfile	"The -Xlintfile option is not a great fit for controlling message across multiple build projects, specifically in my case from the pluginManagement section of a maven parent pom. The problem is that you need a local file to configure the per-message output levels (ignore/warning/error) when you really want to specify it in the build script or in a shared file. As an alternative to -Xlintfile, it would be handy to be able to change an Xlint warning level per message using command line options. For example: ajc -Xlint:adviceDidNotMatch=ignore would override the XlintDefault.properties file for the adviceDidNotMatch message. With Regards Rob"	2013-10-11 15:20:08	1381520000	resolved fixed	b2cd5fa	1382560000	org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjBuildConfig.java org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjBuildManager.java org.aspectj.matcher/src/org/aspectj/weaver/Lint.java testing/newsrc/org/aspectj/testing/CompileSpec.java tests/bugs174/pr419279/Code.java tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java	6:org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjBuildManager.java 26:org.aspectj.matcher/src/org/aspectj/weaver/Lint.java 29:org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjBuildConfig.java 40:testing/newsrc/org/aspectj/testing/CompileSpec.java 44:tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java
4	415266	Bug 415266 LTW not working when JMX is enabled	"When I enable JMX remote management on a JVM along with AspectJ load-time weaving (LTW), our Aspect doesn't appear to get woven in. This are the JVM arguments: -Dvisualvm.display.name=JdbcTimingAspectTest -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.port=1024 -javaagent:/jars/aspectjweaver.jar -Dorg.aspectj.weaver.loadtime.configuration=com/trgr/cobalt/infrastructure/instrumentation/aspects/timing/jdbc/jdbcmonitor.xml Note that if I don't enable JMX remote management (by remove the -Dcom.sun.management.jmxremote.* JVM arguments), the Aspect works fine."	2013-08-16 17:51:29	1376690000	resolved fixed	9e992d6	1380650000	loadtime/src/org/aspectj/weaver/loadtime/Aj.java	5:loadtime/src/org/aspectj/weaver/loadtime/Aj.java
5	418129	Bug 418129 Can't introduce annotation onto introduced method from trait-patterned aspect		2013-09-26 14:31:09	1380220000	resolved fixed	2393bef	1380650000	tests/bugs174/pr418129/Target.java tests/bugs174/pr418129/Target2.java tests/bugs174/pr418129/Target3.java tests/bugs174/pr418129/Target4.java tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java weaver/src/org/aspectj/weaver/bcel/BcelClassWeaver.java weaver/src/org/aspectj/weaver/bcel/BcelWorld.java weaver/src/org/aspectj/weaver/bcel/LazyMethodGen.java	21:weaver/src/org/aspectj/weaver/bcel/BcelClassWeaver.java 41:weaver/src/org/aspectj/weaver/bcel/LazyMethodGen.java 75:weaver/src/org/aspectj/weaver/bcel/BcelWorld.java 384:tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java
6	368046	Bug 368046 configure a set of classloader for which weavers should not be created in an LTW scenario	"Prototyped and tested for JspClassLoaders (see the thread 'aspectj and jsp load' on the mailing list). That was done through a system property but it would be easier via aop.xml. However, this would be the first time we have an aop.xml setting that affects global operation of loadtime weaving. When any classloader actually got far enough to load the aop.xmls it would discover this setting and from that point on it would be set. In our JspClassLoader case this would mean that either some non-JspClassLoader is run early enough to discover this setting and turn it off for all JspClassLoaders or the first JspClassLoader will discover the setting and turn it off for all other JspClassLoaders. I think we can live with that mode of operation."	2012-01-06 12:05:35	1325870000	resolved fixed	0c0adc5	1375160000	loadtime/src/org/aspectj/weaver/loadtime/Aj.java loadtime/src/org/aspectj/weaver/loadtime/ClassLoaderWeavingAdaptor.java loadtime/src/org/aspectj/weaver/loadtime/Options.java tests/bugs174/pr368046/Azpect.java tests/bugs174/pr368046/Code.java tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java	2:loadtime/src/org/aspectj/weaver/loadtime/ClassLoaderWeavingAdaptor.java 6:loadtime/src/org/aspectj/weaver/loadtime/Aj.java 29:loadtime/src/org/aspectj/weaver/loadtime/Options.java 36:tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java
7	413378	Bug 413378 A constructor added by ITD cannot invoke the method of its super class	"AspectJ Development Tools 2.2.0.e37x-RELEASE-20120704-0900 It seems *super.someMethod()* can not be correctly resolved in the constructor added by ITD It can be compiled with no problem, but* at runtime, exception is raised.* The class which I'll add a new constructor to: public class Child extends Parent{ public String mParent = ""John""; public Child(String parent) { this.mParent = parent; } public String getParent() { return this.mParent; } } As we can see, *Child * extends *Parent* class Parent has a method getAge() public class Parent { private String mName = ""John""; private int mAge = 50; public int getAge(){ return mAge; } } If I add a new constructor for the *Child * in my aspect. public aspect MyTest { public Child.new(String parent, int age) { this(parent); System.out.println(""Get Age:"" + super.getAge()); System.out.println(""Child Name:"" + this.mParent); } } The above aspect code will trigger an exception. Exception in thread ""main"" java.lang.NoSuchMethodError: com.test.Child.ajc$superDispatch$com_test_Child$getAge()I at MyTest.ajc$postInterConstructor$MyTest$com_test_Child(MyTest.aj:13) at com.test.Child.<init>(Child.java:1) at MainProgram.main(MainProgram.java:14) Is this a limitation of AspectJ? Is this the only way to resolve this issue? I also attach the src & compiled binary files"	2013-07-20 02:22:28	1374300000	resolved fixed	302c14e	1374530000	tests/bugs174/pr413378/Code.java tests/src/org/aspectj/systemtest/AllTests17.java tests/src/org/aspectj/systemtest/ajc174/Ajc174Tests.java tests/src/org/aspectj/systemtest/ajc174/AllTestsAspectJ174.java weaver/src/org/aspectj/weaver/bcel/BcelTypeMunger.java	3:weaver/src/org/aspectj/weaver/bcel/BcelTypeMunger.java 556:tests/src/org/aspectj/systemtest/AllTests17.java
8	407017	"Bug 407017 Stack trace being printed, but want to mute it"	"In org.aspectj.ajdt.internal.core.builder.AjState.getDelegate(ReferenceType), there is a call to printStackTrace(). On the AJDT build server, this exception is being printed and causing some noise. Can you replace that call with a call to the IMessageHandler for the build?"	2013-05-01 15:10:46	1367440000	resolved fixed	e6cb508	1372460000	org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjState.java	3:org.aspectj.ajdt.core/src/org/aspectj/ajdt/internal/core/builder/AjState.java
9	408721	Bug 408721 java.util.ConcurrentModificationException when multiple threads enter the weaver	"I am using AspectJ 1.7.1. Occasionally I see the following exception, which I believe is related to multiple threads initializing some internal state. java.util.ConcurrentModificationException: null at java.util.ArrayList$Itr.checkForComodification(Unknown Source) ~[na:1.7.0_11] at java.util.ArrayList$Itr.next(Unknown Source) ~[na:1.7.0_11] at org.aspectj.weaver.ReferenceType.findDerivativeType(ReferenceType.java:1122) ~[aspectjweaver.jar:1.7.1] at org.aspectj.weaver.TypeFactory.createParameterizedType(TypeFactory.java:44) ~[aspectjweaver.jar:1.7.1] at org.aspectj.weaver.ResolvedType.parameterize(ResolvedType.java:2479) ~[aspectjweaver.jar:1.7.1] at org.aspectj.weaver.ReferenceType.getDeclaredInterfaces(ReferenceType.java:673) ~[aspectjweaver.jar:1.7.1] at org.aspectj.weaver.ResolvedType.getDirectSupertypes(ResolvedType.java:82) ~[aspectjweaver.jar:1.7.1] at org.aspectj.weaver.patterns.TypePattern.matchesSubtypes(TypePattern.java:178) ~[aspectjweaver.jar:1.7.1] at org.aspectj.weaver.patterns.ExactTypePattern.matchesSubtypes(ExactTypePattern.java:74) ~[aspectjweaver.jar:1.7.1] at org.aspectj.weaver.patterns.TypePattern.matchesStatically(TypePattern.java:130) ~[aspectjweaver.jar:1.7.1] at org.aspectj.weaver.patterns.KindedPointcut.fastMatch(KindedPointcut.java:130) ~[aspectjweaver.jar:1.7.1] at org.aspectj.weaver.internal.tools.PointcutExpressionImpl.couldMatchJoinPointsInType(PointcutExpressionImpl.java:84) ~[aspectjweaver.jar:1.7.1] at org.springframework.aop.aspectj.AspectJExpressionPointcut.matches(AspectJExpressionPointcut.java:250) ~[spring-aop.jar:3.2.1.RELEASE] at org.springframework.aop.support.AopUtils.canApply(AopUtils.java:208) ~[spring-aop.jar:3.2.1.RELEASE] at org.springframework.aop.support.AopUtils.canApply(AopUtils.java:262) ~[spring-aop.jar:3.2.1.RELEASE] at org.springframework.aop.support.AopUtils.findAdvisorsThatCanApply(AopUtils.java:294) ~[spring-aop.jar:3.2.1.RELEASE] at org.springframework.aop.framework.autoproxy.AbstractAdvisorAutoProxyCreator.findAdvisorsThatCanApply(AbstractAdvisorAutoProxyCreator.java:118) ~[spring-aop.jar:3.2.1.RELEASE]"	2013-05-22 12:10:52	1369240000	resolved fixed	3f6e166	1372280000	org.aspectj.matcher/src/org/aspectj/weaver/ReferenceType.java	68:org.aspectj.matcher/src/org/aspectj/weaver/ReferenceType.java
10	404600	Bug 404600 Unhandled RuntimeException	"I'm getting an unhandled RuntimeException from STS 3.2.0.RELEASE: java.lang.RuntimeException at org.aspectj.asm.AsmManager.sameType(AsmManager.java:897) at org.aspectj.asm.AsmManager.removeRelationshipsTargettingThisType(AsmManager.java:711) at org.aspectj.weaver.bcel.BcelWeaver.weave(BcelWeaver.java:1033) at org.aspectj.ajdt.internal.compiler.AjPipeliningCompilerAdapter.weaveQueuedEntries(AjPipeliningCompilerAdapter.java:514) at org.aspectj.ajdt.internal.compiler.AjPipeliningCompilerAdapter.queueForWeavin ... ndation-domain/src\/main\/java<com.scispike.foundation.domain.trait.persistence*PersistableAspect.aj%com.scispike.foundation.domain.trait.persistence) Andy Clement, this can be reproduced in our private foundation repo's dev branch at commit d879446f2bfd83b51bf711d2931f4b28ce8c1901. After clicking ok on the exception dialog, there is an error marker on the package statement with text: Internal compiler error: java.lang.RuntimeException: Exception whilst walking up from target com.scispike.foundation.domain.trait.persistence kind=(package declaration) hid=(=foundation-domain/src\/main\/java<com.scispike.foundation.domain.trait.persistence*PersistableAspect.aj%com.scispike.foundation.domain.trait.persistence) at org.aspectj.asm.AsmManager.sameType(AsmManager.java:897) If I do a Project\Clean..., the exception is not reproduced and everything compiles ok. Next edit repros the exception."	2013-03-29 00:48:42	1364530000	resolved fixed	ff0859d	1364930000	weaver/src/org/aspectj/weaver/bcel/BcelWeaver.java	7:weaver/src/org/aspectj/weaver/bcel/BcelWeaver.java
